Fornitore;Data inserimento;Lotto di Taglio;Commessa BV;WO;Articolo;Mov. Mag;N. Riga;Materiale;U.M.;Qtà Avanzata;Qtà Consumata;Cls Impiego BV;Conceria;Conc Des;Partita;Causale di Resa Taglio;Inviato a ST400
T571383;2023-07-13 16:04:51;L57138320230713160451000;EPEV/2023/07445/A;WPEP/2023/3384;729029/VCQC2/84;2PE/2023/S/20325;4;0004A1V2523 1000;DQ;53;3411,72;197;534962;MARMARA DERI SANAYI VE TICARET;FCF1505;003/Taglio in mix (-);SI
T571383;2023-07-13 16:56:00;L57138320230713165600000;EPEV/2023/07236/A;WPEP/2023/3417;740898/VCPP1/90;2PE/2023/S/20344;1;0004A1V2596 9000;DQ;50;571,47;113;550118;LUXURY TANNERY DOO;61100;003/Taglio in mix (-);SI
T571383;2023-07-13 16:56:00;L57138320230713165600000;EPEV/2023/07236/A;WPEP/2023/3417;740898/VCPP1/90;2PE/2023/S/20344;2;0004A1V2596 9000;DQ;50;3852,22;114;550118;LUXURY TANNERY DOO;61100;003/Taglio in mix (-);SI
T571383;2023-07-13 16:56:00;L57138320230713165600000;EPEV/2023/07316/A;WPEP/2023/3443;740898/VCPP1/90;2PE/2023/S/20344;7;0004A1V2596 9000;DQ;50;571,47;113;550118;LUXURY TANNERY DOO;61100;003/Taglio in mix (-);SI
T571383;2023-07-13 16:56:00;L57138320230713165600000;EPEV/2023/07316/A;WPEP/2023/3443;740898/VCPP1/90;2PE/2023/S/20344;8;0004A1V2596 9000;DQ;50;3852,22;114;550118;LUXURY TANNERY DOO;61100;003/Taglio in mix (-);SI
T571383;2023-07-13 16:56:00;L57138320230713165600000;EPEV/2023/07367/A;WPEP/2023/3464;740898/VCPP1/90;2PE/2023/S/20344;5;0004A1V2596 9000;DQ;50;571,47;113;550118;LUXURY TANNERY DOO;61100;003/Taglio in mix (-);SI
T571383;2023-07-13 16:56:00;L57138320230713165600000;EPEV/2023/07367/A;WPEP/2023/3464;740898/VCPP1/90;2PE/2023/S/20344;6;0004A1V2596 9000;DQ;50;3852,22;114;550118;LUXURY TANNERY DOO;61100;003/Taglio in mix (-);SI
T571383;2023-07-13 16:56:00;L57138320230713165600000;EPEV/2023/07394/A;WPEP/2023/3479;740898/VCPP1/90;2PE/2023/S/20344;3;0004A1V2596 9000;DQ;40;457,17;113;550118;LUXURY TANNERY DOO;61100;003/Taglio in mix (-);SI
T571383;2023-07-13 16:56:00;L57138320230713165600000;EPEV/2023/07394/A;WPEP/2023/3479;740898/VCPP1/90;2PE/2023/S/20344;4;0004A1V2596 9000;DQ;40;3081,77;114;550118;LUXURY TANNERY DOO;61100;003/Taglio in mix (-);SI
T571383;2023-07-13 16:51:38;L57138320230713165138000;EPEV/2023/07599/A;WPEP/2023/3521;763966/V3IV1/44;2PE/2023/S/20340;1;0004A1V1218 4231;DQ;50;180,24;113;571373;F.L. LEATHER S.R.L.;1002/23;002/Abilità del tagliatore (-);SI
T571383;2023-07-13 16:51:38;L57138320230713165138000;EPEV/2023/07599/A;WPEP/2023/3521;763966/V3IV1/44;2PE/2023/S/20340;2;0004A1V1218 4231;DQ;50;7012,76;114;571373;F.L. LEATHER S.R.L.;1002/23;002/Abilità del tagliatore (-);SI
T571383;2023-07-13 16:54:34;L57138320230713165434000;EPEV/2023/07599/A;WPEP/2023/3521;763966/V3IV1/44;2PE/2023/S/20343;1;0004A1V0356 4231;DQ;50;2868,00;197;463546;RINO MASTROTTO GROUP SPA;10907795;004/Dimensione/conformità/qualità della pelle (-);SI
T571383;2023-07-13 10:49:21;L57138320230713104921000;EPEV/2023/07602/A;WPEP/2023/3508;766014/VCPP1/22;2PE/2023/S/20241;11;0004A1V2596 2113;DQ;33;137,61;113;502107;CARISMA SPA;378/23;003/Taglio in mix (-);SI
T571383;2023-07-13 10:49:21;L57138320230713104921000;EPEV/2023/07602/A;WPEP/2023/3508;766014/VCPP1/22;2PE/2023/S/20241;12;0004A1V2596 2113;DQ;33;3161,20;114;502107;CARISMA SPA;378/23;003/Taglio in mix (-);SI
